effect	estimate	se	df	t_value	p_value	roi	atlas
(Intercept)	-0.0922270381214017	0.0839541276712497	3986.05497534837	-1.09854084223884	0.272034742513369	30	DKT
condition2	-0.045648488372084	0.102448831101554	3250.44849776273	-0.445573540286019	0.655935001190791	30	DKT
task2	0.0249027028190859	0.0844843087138262	3758.19459763053	0.294761278137919	0.76819252908289	30	DKT
task3	1.30757945316103	0.0848279773324362	3593.77696074335	15.4144834555786	5.81473720813264e-52	30	DKT
condition2:task2	0.12382362151656	0.105522620069846	3250.44849833016	1.17343202277009	0.24070857807137	30	DKT
condition2:task3	0.488671456876021	0.110781788940188	3250.44849657325	4.4111172201765	1.06175711732536e-05	30	DKT
(Intercept)	1.36622897827269	0.0622981798095231	3981.78861619984	21.930479870358	9.7713911484401e-101	31	DKT
condition2	1.40401993023271	0.0775156660799869	3222.41304166064	18.1127248366018	6.63227700040527e-70	31	DKT
task2	-0.928239622152201	0.0631809124876792	3817.23386909341	-14.6917729675591	1.41643940941048e-47	31	DKT
task3	-1.47461051793737	0.063708069190099	3631.86431955232	-23.1463696307805	1.12036389123352e-110	31	DKT
condition2:task2	-0.302483387739789	0.0798413812365637	3222.41304041131	-3.78855404371769	0.000154295557869503	31	DKT
condition2:task3	-1.56538375503586	0.0838206162715399	3222.41304454125	-18.675402599818	5.52055572947668e-74	31	DKT
(Intercept)	0.392439586651081	0.0690174023187262	3982.92075178295	5.6860961651204	1.39296476327576e-08	32	DKT
condition2	0.335575151162685	0.0850960234752613	3231.48616251949	3.94348804395357	8.20091973364383e-05	32	DKT
task2	-0.212830944246365	0.0697581989891821	3787.95150534059	-3.05098106502679	0.00229674804131032	32	DKT
task3	-0.183113884714358	0.0701936189118399	3610.96643041071	-2.60869702336249	0.00912623813130973	32	DKT
condition2:task2	-0.0121020420975258	0.087649173329597	3231.48616218219	-0.1380736593147	0.890190805853856	32	DKT
condition2:task3	-0.338025771241421	0.0920175429131138	3231.48616628083	-3.67349268998192	0.000243137093247267	32	DKT
(Intercept)	1.60685071249168	0.0494066587019212	3983.083654463	32.5229585385662	5.50724490833248e-206	35	DKT
