contrast	estimate	se	df	z_ratio	p_value	roi	atlas
Alice baseline	0.723178860465107	0.084665304527904	384.094235195328	8.54162002366343	3.14030812299014e-16	1	GSS
Alice critical	1.75410711627907	0.0846653045279045	384.094235195296	20.7181339045552	1.48647213458551e-64	1	GSS
Language baseline	0.468358289506358	0.0654779610708114	159.32450311905	7.15291499379233	2.91329512478423e-11	1	GSS
Language critical	1.44395088059947	0.0654779610708114	159.32450311905	22.052471655889	2.8158794517634e-50	1	GSS
MD baseline	-0.257375442296826	0.0798568229752069	321.037841500706	-3.22296120366238	0.00139900788275134	1	GSS
MD critical	-0.465616470868256	0.0798568229752069	321.037841500713	-5.83064105884623	1.34566459595712e-08	1	GSS
Alice baseline	0.363133918604653	0.0338798666522983	298.801347183445	10.718280633493	6.76614605810885e-23	25	GSS
Alice critical	0.606906872093019	0.0338798666522983	298.801347183458	17.9134964821902	2.99253011721484e-49	25	GSS
Language baseline	0.300054811362664	0.0275425590665793	142.412839060505	10.8942241219247	1.7651847666522e-20	25	GSS
Language critical	0.612444095845424	0.0275425590665793	142.412839060503	22.2362814713385	3.62117663399766e-48	25	GSS
MD baseline	0.207650461090265	0.0322199408127258	252.524731959538	6.44478096025087	5.82870070072831e-10	25	GSS
MD critical	0.256819642042646	0.0322199408127258	252.524731959533	7.97082910658889	5.44705078797387e-14	25	GSS
Alice baseline	-0.0537972209302171	0.0969075759757648	250.223928260531	-0.555139475820456	0.579295188917569	19	GSS
Alice critical	-0.0169452441860311	0.0969075759757649	250.223928260536	-0.174859849866319	0.861331162444106	19	GSS
Language baseline	0.218854803744836	0.0808180727619095	127.868406087842	2.70799335180366	0.00769568070056608	19	GSS
Language critical	0.522910546483424	0.0808180727619094	127.868406087842	6.47021796750737	1.89684729023957e-09	19	GSS
MD baseline	1.60204542751369	0.0927285757375914	214.170617763066	17.2767177191123	1.81842545452263e-42	19	GSS
MD critical	1.93178122751369	0.0927285757375914	214.170617763066	20.8326420647326	2.09778989197661e-53	19	GSS
Alice baseline	-0.0261851279069791	0.115209141795735	269.199959756196	-0.227283421253196	0.820375875815381	18	GSS
Alice critical	-0.0425024302325621	0.115209141795735	269.199959756217	-0.368915431276441	0.71248074128835	18	GSS
Language baseline	-0.474192227161995	0.0950734997560588	133.464829041021	-4.98763828384025	1.867165435153e-06	18	GSS
Language critical	-0.20021672505229	0.0950734997560587	133.46482904102	-2.10591516632931	0.0370846644451603	18	GSS
MD baseline	1.05698917158396	0.109959992739796	229.078915570798	9.61248855377035	1.35272821415829e-18	18	GSS
MD critical	1.31010954301253	0.109959992739796	229.078915570798	11.9144200574177	8.69986044813881e-26	18	GSS
Alice baseline	0.235376465116275	0.0507805316851014	364.905925480163	4.63517134038461	4.97300521348216e-06	26	GSS
Alice critical	0.40783284883721	0.0507805316851013	364.905925480125	8.03128355107131	1.34397399155821e-14	26	GSS
Language baseline	0.275786265328649	0.0398619398958831	158.929024762479	6.91853597815323	1.05710917633893e-10	26	GSS
Language critical	0.535637780222265	0.0398619398958831	158.929024762479	13.4373234624636	5.52014550874944e-28	26	GSS
MD baseline	0.462028944978065	0.0479710438649219	305.698340815494	9.63141319749177	2.3924082014383e-19	26	GSS
MD critical	0.616389992597112	0.0479710438649219	305.698340815487	12.8492095008972	1.65189311511823e-30	26	GSS
Alice baseline	0.333444860465117	0.116914033095978	567.813691006184	2.85205164542892	0.00450193780925765	21	GSS
Alice critical	1.30444641860465	0.116914033095978	567.813691005948	11.1573126344362	2.8368662515276e-26	21	GSS
Language baseline	0.108248942646083	0.0837546405514964	211.850870262801	1.29245307404222	0.197608196899895	21	GSS
Language critical	1.12018955308785	0.0837546405514963	211.850870262804	13.3746565648396	5.56567576401414e-30	21	GSS
MD baseline	-0.86535188663161	0.108839175179392	481.33444219784	-7.95073910846269	1.33108451768713e-14	21	GSS
MD critical	-1.67433704853637	0.108839175179392	481.33444219784	-15.3835881774801	1.00639666828304e-43	21	GSS
Alice baseline	-0.0383792209302351	0.0984004155628903	234.642216722248	-0.390031085851522	0.696867375325283	16	GSS
Alice critical	-0.0194674534883717	0.0984004155628903	234.642216722244	-0.19783913896105	0.84334220889796	16	GSS
Language baseline	-0.0177883404158338	0.0828865370417292	123.698976633418	-0.214610732342193	0.830424221567515	16	GSS
Language critical	0.296157449707622	0.0828865370417291	123.698976633418	3.57304648351423	0.000503858269725664	16	GSS
MD baseline	1.24504160322752	0.0943707428611349	202.000641474384	13.1930889328654	4.50138098161131e-29	16	GSS
MD critical	1.53855561275133	0.0943707428611349	202.000641474384	16.3033114512545	1.08252007664043e-38	16	GSS
