task	condition	emmean	se	df	lowCI	highCI	roi	atlas
Alice	baseline	0.311547883720934	0.0826025330413768	425.897178925688	0.149188505099637	0.47390726234223	18	NA
Lang	baseline	0.200085254147034	0.0631555792808012	176.69896529075	0.0754489597744698	0.324721548519597	18	NA
MD	baseline	-0.540254486475759	0.077629556477648	356.476323076527	-0.692923957502292	-0.387585015449227	18	NA
Alice	critical	0.754779372093027	0.082602533041377	425.897178925754	0.59241999347173	0.917138750714324	18	NA
Lang	critical	0.597448403719683	0.0631555792808012	176.69896529075	0.47281210934712	0.722084698092247	18	NA
MD	critical	-1.07498749599957	0.077629556477648	356.476323076527	-1.2276569670261	-0.922318024973038	18	NA
Alice	baseline	0.31530193023255	0.0524201426025473	300.712801770745	0.212145164131761	0.418458696333338	19	NA
Lang	baseline	0.518149484351611	0.0425690457583598	142.902183124199	0.434003092214882	0.602295876488341	19	NA
MD	baseline	0.594269918381439	0.0498405558902979	254.038030398216	0.496116612578041	0.692423224184837	19	NA
Alice	critical	0.501696872093016	0.0524201426025474	300.712801770719	0.398540105992227	0.604853638193805	19	NA
Lang	critical	0.767948773144715	0.0425690457583598	142.902183124199	0.683802381007985	0.852095165281445	19	NA
MD	critical	0.805811956476678	0.0498405558902978	254.038030398216	0.707658650673279	0.903965262280076	19	NA
Alice	baseline	1.0610462906977	0.114406399153594	339.832772273019	0.836012428234594	1.2860801531608	20	NA
Lang	baseline	0.605520998789507	0.0910022350746693	152.993412217827	0.425737802822454	0.78530419475656	20	NA
MD	baseline	0.619202184024625	0.108331869041767	285.372430892507	0.405971304245832	0.832433063803419	20	NA
Alice	critical	1.69676067441861	0.114406399153595	339.832772273036	1.4717268119555	1.92179453688171	20	NA
Lang	critical	1.15791167690109	0.0910022350746692	152.993412217827	0.978128480934041	1.33769487286815	20	NA
MD	critical	0.745749364977006	0.108331869041767	285.372430892507	0.532518485198213	0.9589802447558	20	NA
Alice	baseline	0.795652779069769	0.0902108938381435	516.299811210919	0.618427222297226	0.972878335842313	21	NA
Lang	baseline	0.354928891472969	0.0664882182558046	204.916768383947	0.223840171536047	0.48601761140989	21	NA
MD	baseline	-0.114846718359387	0.0842273092488635	435.544223033789	-0.280389226253165	0.0506957895343905	21	NA
Alice	critical	1.64248619767443	0.0902108938381438	516.299811210977	1.46526064090189	1.81971175444698	21	NA
Lang	critical	0.867341231898499	0.0664882182558046	204.916768383947	0.736252511961577	0.99842995183542	21	NA
MD	critical	-0.202827880264151	0.0842273092488634	435.544223033789	-0.368370388157928	-0.0372853723703729	21	NA
Alice	baseline	0.0656972261904771	0.0385979955746637	346.593335373543	-0.01021854972693	0.141613002107884	22	NA
Lang	baseline	-0.0229766538513697	0.0305867397120234	155.996423666707	-0.0833942695334026	0.0374409618306631	22	NA
MD	baseline	-0.134480371171651	0.0364511572025417	289.713063100494	-0.206223030833942	-0.0627377115093598	22	NA
Alice	critical	0.355782250000001	0.0385979955746637	346.593335373525	0.279866474082593	0.431698025917408	22	NA
Lang	critical	0.22173926017578	0.0305867397120234	155.996423666709	0.161321644493747	0.282156875857813	22	NA
MD	critical	-0.266543342045437	0.0364511572025417	289.713063100494	-0.338286001707728	-0.194800682383146	22	NA
Alice	baseline	0.226802127906979	0.0298025653197417	655.025055270979	0.168282042461159	0.285322213352799	23	NA
Lang	baseline	0.0731364900815935	0.0210277809936133	283.59003014204	0.0317461559160289	0.114526824247158	23	NA
MD	baseline	0.0830343378407535	0.0275537593199585	574.11302039023	0.0289158717401662	0.137152803941341	23	NA
Alice	critical	0.423413302325584	0.0298025653197418	655.025055270948	0.364893216879764	0.481933387771404	23	NA
Lang	critical	0.175258593685197	0.0210277809936133	283.59003014204	0.133868259519632	0.216648927850761	23	NA
MD	critical	0.0817792330788485	0.0275537593199585	574.11302039023	0.0276607669782612	0.135897699179436	23	NA
Alice	baseline	0.887276174418598	0.0961570075420056	549.287905267513	0.698395717718762	1.07615663111843	24	NA
Lang	baseline	0.433494658732402	0.0701839473142052	220.467611418408	0.295177365486043	0.571811951978761	24	NA
MD	baseline	0.409017765185249	0.0895694766629982	466.410039198923	0.233008080974864	0.585027449395634	24	NA
Alice	critical	1.61343195348837	0.0961570075420056	549.287905267624	1.42455149678854	1.80231241018821	24	NA
Lang	critical	0.950613987736732	0.0701839473142052	220.467611418405	0.812296694490373	1.08893128098309	24	NA
MD	critical	0.513658593756677	0.0895694766629982	466.410039198923	0.337648909546292	0.689668277967062	24	NA
Alice	baseline	0.17966038372093	0.0441806185693077	561.088294825959	0.0928807709104161	0.266439996531445	25	NA
Lang	baseline	-0.172180189663024	0.0320767780779912	224.101976897394	-0.235390883905076	-0.108969495420972	25	NA
MD	baseline	-0.364001166005731	0.0411232428543972	477.400677966204	-0.444806098360869	-0.283196233650593	25	NA
Alice	critical	0.485042523255813	0.0441806185693075	561.088294826051	0.398262910445299	0.571822136066327	25	NA
Lang	critical	0.131193844819735	0.0320767780779912	224.10197689739	0.0679831505776824	0.194404539061787	25	NA
MD	critical	-0.587919051720017	0.0411232428543973	477.400677966204	-0.668723984075155	-0.507114119364879	25	NA
Alice	baseline	-0.0760292906976728	0.0485720243845	395.048824563184	-0.171521264997029	0.019462683601683	26	NA
Lang	baseline	-0.337093613805567	0.0376329053408846	167.770050676241	-0.411388676987351	-0.262798550623784	26	NA
MD	baseline	-0.429468590746889	0.0457626567222892	330.578886988851	-0.519491332906873	-0.339445848586905	26	NA
Alice	critical	0.0658568255813954	0.0485720243845001	395.048824563184	-0.0296351487179606	0.161348799880751	26	NA
Lang	critical	-0.076202959959413	0.0376329053408846	167.770050676241	-0.150498023141197	-0.00190789677762922	26	NA
MD	critical	-0.615882257413556	0.0457626567222892	330.578886988859	-0.70590499957354	-0.525859515253572	26	NA
