effect	estimate	se	df	t_value	p_value	roi	atlas
(Intercept)	0.414430876433224	0.0352897213582652	6107.09063911235	11.743670975066	1.65734380377469e-31	12	NA
condition2	0.24377295348838	0.0449780912043877	5339.52803319133	5.41981544705035	6.2279354256633e-08	12	NA
task2	-0.0709439189326594	0.0341670956736746	5491.5086848594	-2.0763813117227	0.0379051022050615	12	NA
task3	-0.209505622203782	0.0357859213349371	5449.7652522407	-5.85441465214551	5.06650078915365e-09	12	NA
condition2:task2	0.143617218995391	0.0457562852975961	5339.52803226503	3.13874297402669	0.001705989578407	12	NA
condition2:task3	-0.170235793725067	0.048643452061225	5339.52803658384	-3.49966514528615	0.000469645907698049	12	NA
(Intercept)	0.0163576296923666	0.0952352467928619	6126.62355182702	0.171760248891303	0.863631690545182	13	NA
condition2	0.0368519767441746	0.121478297748695	5368.40776409323	0.303362637007074	0.761625271560642	13	NA
task2	0.291417276715055	0.09221452399331	5516.81413780724	3.16021017184014	0.00158508111277936	13	NA
task3	1.53462356848137	0.0966256788068306	5476.99880168031	15.8821504534971	1.44258804618049e-55	13	NA
condition2:task2	0.338901095637552	0.123572485595641	5368.4077674522	2.74252875956965	0.00611703040616652	13	NA
condition2:task3	0.356389243728279	0.131359069667366	5368.40775244537	2.71309202045011	0.00668712461336295	13	NA
(Intercept)	-0.0742676658496596	0.104677802599162	5781.57085282889	-0.709488200989942	0.478050181449628	14	NA
condition2	-0.0163173023255308	0.132076388100594	5020.31664811868	-0.123544431826096	0.901680937923175	14	NA
task2	-0.496439931814455	0.100463398732744	5140.94036093745	-4.94150046759913	7.99834517722031e-07	14	NA
task3	1.0107875078032	0.105173437235771	5109.41142258182	9.610672945273	1.09848958690317e-21	14	NA
condition2:task2	0.394967066238575	0.134522981861942	5020.31664803971	2.93605643267648	0.00333922926739274	14	NA
condition2:task3	0.36311555429403	0.142819184886926	5020.31664672665	2.54248443289688	0.0110365311758278	14	NA
(Intercept)	0.21740215596665	0.0481523328249987	5943.43620573098	4.51488314713143	6.45746205455041e-06	15	NA
condition2	0.172456383720978	0.0624134863952587	5214.47481417325	2.76312690864324	0.00574513143679463	15	NA
task2	0.0157224992271852	0.0472902220264915	5409.96216328216	0.332468289499204	0.739548561653329	15	NA
task3	0.1907044213739	0.0495635599023362	5358.51607479066	3.8476740119087	0.000120630612951741	15	NA
condition2:task2	0.1685803084906	0.0635214283905798	5214.47481495992	2.65391243178657	0.00798059349842038	15	NA
condition2:task3	-0.0333980097052322	0.0674900592082589	5214.47481107509	-0.494858207223875	0.620721062578707	15	NA
(Intercept)	0.428419324515988	0.105151644544428	6636.4628623374	4.07429980170188	4.66908854508592e-05	16	NA
condition2	0.971001558139367	0.138319500679135	5918.68223790034	7.01999033666147	2.46725450122112e-12	16	NA
task2	-0.309656300226214	0.104239621830123	6199.59058870859	-2.97061995035682	0.00298339254759185	16	NA
task3	-1.06777178104925	0.109500240121503	6122.75690472533	-9.75131908262887	2.64425466317347e-22	16	NA
condition2:task2	0.0988316623901975	0.140460257190204	5918.68223664956	0.703627234971985	0.481692624563188	16	NA
condition2:task3	-1.64618779435984	0.149570098221604	5918.68224485441	-11.0061289919115	6.64705326710432e-28	16	NA
(Intercept)	-0.253003004503919	0.0952894131205331	6205.77474582729	-2.65510087866625	0.00794871760189591	17	NA
condition2	0.0189117674418166	0.119270898947308	5473.85582748019	0.158561456388213	0.874020247108992	17	NA
task2	-0.00803111538762937	0.0906718158716161	5589.62863336915	-0.0885734482146114	0.929424083463405	17	NA
task3	1.1885358985138	0.0949773485134169	5557.78189657505	12.5138879650436	1.87668058219122e-35	17	NA
condition2:task2	0.357264472273375	0.121282670033447	5473.85582557841	2.94571740690446	0.0032356419467683	17	NA
condition2:task3	0.325683543581799	0.128972126004928	5473.85583423899	2.52522427651814	0.0115904540256874	17	NA
(Intercept)	0.36041854652198	0.0746957097250048	5752.39545951255	4.8251572660448	1.43503389999981e-06	18	NA
condition2	0.443231488372088	0.0982731722154335	5094.96911131417	4.51019824006943	6.6221469945501e-06	18	NA
task2	-0.196221940189751	0.0742160128674407	5347.69866766687	-2.64392996347336	0.00821888673305899	18	NA
